Term,Frequency
ETS,2
Lichte,1
Klimaziels,2
reformieren,16
Lenkungswirkung,5
voll,3
erfüllen,9
deutlichen,2
Emissionszertifikaten,1
Löschung,2
überschüssiger,1
Zertifikate,1
Markt,10
europäischem,2
Luftverkehr,1
sorgt,3
bekommt,5
Anreiz,1
Dekarbonisierung,4
Technologieführerschaft,1
Druck,9
Klimabewegung,1
Grünen,1
zudem,17
eingeführt,8
verbessert,13
Erhöhung,4
Preises,1
60,2
2023,1
vorziehen,1
ansteigen,1
Konzert,1
Fördermaßnahmen,1
ordnungsrechtlichen,1
Erreichung,3
absichert,4
Einnahmen,11
nationalen,15
Energiegeld,7
direkt,12
zurückgeben,2
streben,12
Senkung,1
EEG,5
Umlage,2
erhält,5
zusätzlichen,5
transparent,13
Rückerstattung,1
klimafreundliches,1
Verhalten,4
findet,7
sozialer,6
Ausgleich,3
System,10
Unterm,1
Strich,1
Geringverdiener,3
Familien,35
entlastet,3
hohen,7
belastet,2
Bezieher,1
Transferleistungen,2
Arbeitslosengeld,4
II,1
Sozialhilfe,1
profitieren,10
Grundsicherung,4
angerechnet,2
Pendler,1
niedrigen,1
Anpassung,6
Klimabonus,1
Fonds,15
großzügigen,1
Hilfen,10
unterstützt,12
Umstieg,1
Bus,2
emissionsfreies,1
Fahrzeug,1
Bremse,2
Gesetze,2
systematisch,9
Rechtsordnung,1
aufnehmen,4
Klimavertrages,1
Atomausstieg,3
Grundgesetz,10
verankern,18
Grundprinzip,2
staatlichen,20
Handelns,6
Möglichkeiten,26
Steuergesetzgebung,1
ressourcenschonendes,1
Erzeugung,5
versehen,4
Genehmigungsprozesse,1
Klimaverträglichkeitsprüfung,1
Querschnittsaufgabe,5
Klimawirkung,1
prüfen,11
Vereinbarkeit,8
Klimaschutzzielen,2
sicherstellen,19
möglichen,1
klimafreundlichen,3
Schneller,1
Willen,6
Koalition,4
Kohlekraftwerke,1
2038,1
schaden,1
Klimazielen,4
vereinbar,5
vollenden,5
Ebene,37
erneut,1
Kohlekonzernen,1
Milliarden,10
Steuergeldern,1
schenken,1
massiven,3
Klimaschäden,1
Kohleverstromung,1
einpreisen,1
Emissionshandel,3
lenkenden,1
europäischer,25
erreicht,5
Mindestpreis,1
beschleunigter,1
Ausbaus,3
Ausrichtung,5
